,Child utterance:utterance,Child utterance:not sure,Child utterance:other vocalization,Child gaze:robot,Child gaze:props,Child gaze:robot or prop,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Child affective touch:affective touch,Parent utterance:utterance,Parent utterance:missing data,Parent utterance:utterance utterance,Verbal scaffolding:cognitive,Verbal scaffolding:instruction translation,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:affective,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:robot,Parent gaze:props,Parent gaze:robot or prop,Parent affect:positive 2,Parent affect:positive 1,Parent affect:positive 3,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,start-end:start,start-end:end,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child affective touch:affective touch,"[3, 0.26088545953943815]","[1, 1.0]","[4, 0.9987998817961952]","[4, 0.17888821868932542]","[4, 0.41239644521832175]","[5, 0.4293901096956493]","[2, 0.000126986653011191]","[1, 0.15883704032323379]","[1, 0.009196964642027907]","[4, 0.996243532396039]","[1, 1.0]","[2, 0.13066638174593456]","[1, 1.0]","[1, 1.0]","[2, 0.20759546807491994]","[1, 1.0]","[2, 0.08933297347748541]","[2, 0.05958453124678482]","[4, 0.9999690836856424]","[1, 1.0]","[1, 0.292772773745953]","[3, 0.11335079907019818]","[4, 0.10848785200413001]","[1, 0.0007498443150728213]","[2, 0.21562770326424563]","[2, 0.04907138547549232]","[5, 0.005447906349031358]","[1, 1.0]","[4, 0.23349846047418796]","[4, 0.7911043016888221]","[2, 0.08822763425029706]","[5, 0.02899867758976557]","[2, 0.08814261092754463]","[1, 1.0]","[2, 0.14956191526623608]","[1, 0.12042654162298921]","[1, 0.09339123978823088]","[1, 0.18265426261791556]","[5, 0.34159131700685286]","[1, 0.05211728094953577]","[1, 1.0]","[1, 1.0]","[2, 0.39008576259114397]","[4, 0.06858148783150471]","[2, 0.26745372469734396]","[4, 0.9993995307671929]","[5, 0.012078845653215346]","[5, 0.07224236655392707]","[2, 1.3482158776943683e-08]"
Parent utterance:utterance,"[2, 4.3711412242052806e-05]","[2, 0.1703902274690818]","[1, 0.374119063361783]","[1, 0.06457728146409383]","[5, 0.001039568208897992]","[1, 0.037779925661526596]","[4, 0.23362285290900586]","[1, 0.02347278943660085]","[5, 0.05055996110425978]","[3, 0.45546178880632726]","[2, 0.2554434357300213]","[1, 1.0]","[4, 0.26093779083645946]","[2, 0.9469785437374559]","[5, 0.004530955688086665]","[5, 9.764559212449869e-06]","[1, 0.7520216125133918]","[5, 0.010736299458561986]","[4, 0.5337518552436396]","[5, 0.9221706320136971]","[2, 0.8615767070021729]","[5, 0.04794059862489506]","[1, 0.20884998616022787]","[1, 0.28527932682522505]","[2, 0.5236517273080566]","[2, 0.030695795966785136]","[5, 0.8443852121183829]","[5, 0.21724090425211684]","[1, 0.6899660224458901]","[4, 0.022754263856230993]","[3, 0.5286712812377807]","[3, 0.08339308530059561]","[4, 0.5677527824232523]","[1, 0.06388213527590228]","[1, 0.23394211257570427]","[1, 0.14718420684233663]","[5, 0.6173490538629695]","[5, 0.5239842312054532]","[5, 0.5473613566256842]","[3, 0.11672716011917413]","[1, 1.0]","[1, 1.0]","[5, 0.029146305338801384]","[4, 1.4014313882782954e-10]","[3, 0.14434362717319912]","[2, 0.007817860381567975]","[2, 0.0017019129987007468]","[1, 0.3694046949922739]","[5, 0.9070337327987471]"
Parent utterance:missing data,"[3, 0.0014424160585335486]","[1, 1.0]","[1, 1.0]","[1, 0.0022459372903751015]","[1, 1.0]","[1, 3.4248993861196916e-09]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.06405735320276626]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 1.9221394249646035e-12]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.005243379651826212]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 1.420966641838314e-09]","[1, 1.0]","[1, 1.0]","[1, 0.0007498443150728699]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0004993992273873744]","[3, 1.867896765617543e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0036714552076390775]","[1, 8.166298919209416e-10]","[1, 1.4067168957793587e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Parent utterance:utterance utterance,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.37336841161961043]","[5, 0.000757499067518272]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.009596214024320508]","[1, 1.0]","[1, 1.0]","[4, 0.00013620795839182316]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.002698221874444202]","[1, 1.0]","[1, 1.0]","[2, 0.024487771821640417]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 2.5789658603798465e-08]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.21613018338037918]","[1, 0.0024799332205654384]","[4, 9.142241819541163e-08]","[1, 1.0]","[1, 1.0]","[5, 0.00018949964858301884]","[1, 1.0]"
Verbal scaffolding:cognitive,"[2, 0.026299953070783894]","[2, 0.06237179584186613]","[1, 0.2715904152214442]","[1, 0.061524138907458115]","[5, 0.000653287925040478]","[3, 0.11008212620699849]","[1, 0.2520210806033586]","[1, 0.25559127451381014]","[3, 0.07113017660336374]","[3, 0.006177401349228315]","[5, 0.9514116946386799]","[5, 0.2634668188766218]","[1, 1.0]","[4, 0.23674919966571065]","[1, 1.0]","[5, 0.35841025279591965]","[5, 0.9431337178163459]","[5, 0.02411681444836113]","[4, 0.2978280529094714]","[5, 0.8250657963067091]","[2, 0.3681182687367486]","[4, 0.3286140255112698]","[1, 0.018825839099382763]","[2, 0.165001150925496]","[2, 0.39548431276605556]","[2, 0.10182662229590946]","[1, 0.035751097853582194]","[1, 0.3646203565491326]","[4, 0.5709234658234792]","[1, 0.1217818381543747]","[4, 0.3793321464666363]","[3, 0.016433717846946846]","[1, 0.3758298197876362]","[1, 0.01882583909938443]","[1, 0.42406348334411226]","[2, 0.03222367661194027]","[5, 0.598817668600759]","[5, 0.12572959970557016]","[5, 0.4446267390474776]","[1, 0.43482660567810427]","[1, 1.0]","[1, 1.0]","[5, 0.029497824137407973]","[4, 9.119013219001812e-07]","[4, 0.5387622515546175]","[1, 0.035751097853582194]","[1, 0.027026405079824106]","[1, 0.09030482857891851]","[1, 0.24123225902210282]"
Verbal scaffolding:instruction translation,"[4, 0.7702483467197552]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.016030861963241574]","[1, 1.0]","[1, 1.0]","[3, 0.8164274403337146]","[1, 1.0]","[1, 1.0]","[5, 0.8995903432578061]","[1, 0.999999697665562]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.006239145053931513]","[2, 0.003250026610603164]","[1, 1.0]","[1, 1.0]","[5, 0.36256194660118823]","[5, 1.2850454658496755e-05]","[1, 1.0]","[1, 1.0]","[5, 0.768713167968739]","[1, 1.0]","[1, 1.0]","[1, 0.14065210381807067]","[2, 0.012995892670320445]","[1, 1.0]","[5, 1.425238252401324e-12]","[2, 0.5130563435692093]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.5278759456748028]","[1, 1.0]","[1, 1.0]","[5, 0.005004146385783899]","[1, 1.0]","[1, 1.0]"
Verbal scaffolding:affective,"[3, 0.01227248746336809]","[1, 1.0]","[1, 1.0]","[1, 0.25012449900219685]","[1, 0.1826542626179008]","[4, 0.26985133628112]","[2, 0.003258645147233053]","[3, 0.9305573384379234]","[5, 0.007808021254315551]","[1, 1.0]","[3, 0.14312869960264102]","[3, 0.2124472364789315]","[3, 0.4647387324362159]","[1, 1.0]","[3, 0.2563343180934794]","[1, 1.0]","[1, 1.0]","[3, 0.0001567671695593779]","[5, 0.6294846159813017]","[1, 1.0]","[2, 0.9885342606534219]","[1, 0.2721491472946549]","[3, 0.3618356796482476]","[5, 0.999937881100366]","[5, 0.6517394620918093]","[5, 0.889635160248496]","[1, 0.009196964642027907]","[5, 5.205980203522294e-12]","[1, 0.3046722491689061]","[5, 1.448722407658753e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.009671827674673094]","[3, 0.2142673853108176]","[1, 0.1826542626179008]","[1, 1.0]","[2, 0.9616575482998784]","[1, 1.0]","[1, 1.0]","[2, 0.007423965026672612]","[3, 5.2817803323216e-05]","[2, 0.33857560990248126]","[1, 1.0]","[1, 0.28878044028174354]","[1, 0.15883704032324641]","[3, 0.889541095863815]"
Non-verbal scaffolding:cognitive,"[1, 0.031034593114264687]","[1, 1.0]","[5, 0.0476208501468323]","[1, 0.21373671418164467]","[2, 0.10428075048529667]","[5, 0.9961303919021781]","[1, 1.0]","[4, 0.0020668763620113155]","[1, 1.0]","[1, 1.0]","[5, 0.022142008389737795]","[1, 0.13065742804145383]","[1, 1.0]","[1, 1.0]","[3, 0.025074732262901456]","[1, 1.0]","[2, 0.9225668103500703]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.8981077215059439]","[2, 0.3676669638261542]","[4, 0.02217493621124091]","[1, 1.0]","[1, 1.0]","[4, 0.006439884061231857]","[3, 0.022002294897605624]","[5, 0.006986842254076103]","[4, 0.14324154867516514]","[2, 0.10176360640414918]","[5, 0.28641732538916964]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.09339123978822529]","[5, 0.9920883732241872]","[1, 0.1499728018587419]","[2, 0.008340889898433842]","[5, 0.9209495614600347]","[1, 1.0]","[1, 1.0]","[3, 0.02483476928248856]","[2, 0.04293811267672179]","[3, 0.9430854574161313]","[5, 0.11382213967642772]","[1, 1.0]","[3, 0.11178895855967341]","[1, 1.0]"
Non-verbal scaffolding:affective,"[1, 0.11972743552807966]","[1, 1.0]","[5, 0.014186163010188166]","[4, 0.03321292830137554]","[4, 0.006691840328515165]","[2, 0.2149387943517219]","[1, 1.0]","[5, 0.029529773406936993]","[3, 0.022033653003938634]","[1, 1.0]","[1, 0.9364384481643898]","[4, 0.07457878516483474]","[1, 1.0]","[1, 1.0]","[1, 0.03356854114053665]","[1, 1.0]","[4, 0.10935345225624145]","[1, 1.0]","[1, 1.0]","[1, 0.001543364255283732]","[2, 0.2411351976354914]","[5, 0.46663629992319255]","[2, 0.29971266303243166]","[1, 5.50103677516772e-08]","[5, 0.39410276821235496]","[5, 0.12291689274878488]","[1, 1.0]","[4, 0.469226731795061]","[2, 0.552763504726042]","[4, 1.030003935656521e-05]","[1, 0.05396385653815877]","[2, 0.43805342662038627]","[1, 0.9364384481643898]","[1, 1.0]","[1, 0.12193434299806542]","[5, 0.06335954636198737]","[5, 0.011346572236442176]","[3, 0.1532675833331216]","[4, 0.5490445301825115]","[3, 0.49414879377775545]","[1, 1.0]","[1, 1.0]","[5, 0.9416704549156937]","[1, 0.07505173952184392]","[1, 0.19829144746022426]","[3, 0.032676394462319756]","[5, 0.21594358803064387]","[5, 0.0008774540711758093]","[1, 1.0]"
Non-verbal scaffolding:technical,"[2, 6.647640734362422e-06]","[1, 1.0]","[5, 4.5940454243874215e-05]","[3, 0.9430334915862709]","[1, 1.0]","[5, 0.0016619302388257151]","[1, 1.0]","[1, 0.03113832758008064]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 2.3012188994581827e-06]","[1, 1.0]","[1, 1.0]","[5, 0.7738327807714848]","[5, 0.15602018659622155]","[1, 1.0]","[2, 0.027449156301487008]","[5, 0.14471817439811757]","[1, 1.0]","[1, 1.0]","[5, 0.048315456828932055]","[1, 1.0]","[3, 2.5248636118402163e-08]","[5, 0.9984450227833919]","[5, 0.02528193989215683]","[1, 1.0]","[3, 0.7722873614349511]","[1, 1.0]","[1, 1.0]","[2, 0.12380844288414963]","[3, 0.0830560843249672]","[3, 0.019388839217180175]","[1, 1.0]","[1, 1.0]","[3, 0.17573433681528083]","[1, 0.08113912140171492]","[1, 1.0]","[3, 0.00044385904385172185]","[2, 0.2679062433776212]","[2, 0.0982542232587242]","[1, 1.0]"
Parent gaze:child,"[3, 0.10352261183852317]","[1, 0.005188344298819918]","[4, 0.2550386155696296]","[1, 0.25798718793701014]","[5, 0.2275096806862925]","[2, 0.00036567086982954104]","[1, 0.004138400095710809]","[1, 0.15573756544162623]","[3, 0.030091325185570426]","[1, 0.8906237500206046]","[5, 0.8152176738141023]","[1, 0.01545774449495602]","[1, 0.005188344298819601]","[1, 1.0]","[4, 0.40568245794540075]","[5, 0.16145510269571886]","[5, 0.9243415444170316]","[5, 0.6123520280083303]","[5, 0.694588512991334]","[1, 1.0]","[1, 1.0]","[2, 1.724005041580736e-22]","[1, 1.2005171549992087e-06]","[1, 0.0009099736496015005]","[5, 0.2710343931007472]","[4, 0.04779678847237492]","[3, 0.04809116203345813]","[3, 0.7485338959007053]","[5, 0.0482855084130186]","[1, 0.5434866617471228]","[5, 0.9423908405393799]","[3, 0.045534581356138304]","[5, 0.012279136413748124]","[4, 0.0018026996172981497]","[5, 0.4721960004975514]","[3, 0.2920776360485136]","[1, 0.015600679170528074]","[1, 0.5435642981160711]","[5, 0.6047971966247276]","[3, 0.04879901055098514]","[4, 3.2187673717602874e-06]","[1, 0.9965034800381588]","[2, 0.7876457602203952]","[1, 0.6036171495589845]","[1, 0.4176237694720324]","[3, 0.6982416656544987]","[2, 4.798197074454847e-16]","[1, 0.0042818329534934675]","[1, 0.08983396249064998]"
Parent gaze:robot,"[2, 0.276717287668067]","[2, 0.014261657754555148]","[4, 0.0393766381459457]","[4, 0.1138003965633492]","[5, 0.46774090422204095]","[5, 0.2617491432550628]","[5, 0.0049648959373010185]","[1, 0.15101647521266023]","[2, 0.00036599807755565046]","[3, 0.03571084169827585]","[5, 0.7627292166074104]","[1, 9.155009602627129e-05]","[1, 1.0]","[3, 0.03571084169827585]","[1, 0.06758576453246683]","[1, 0.0003456861509292068]","[2, 0.09675184493068863]","[1, 0.2438831999032925]","[4, 0.6339388416208667]","[1, 0.9760949338416229]","[2, 1.6409681236265476e-14]","[1, 1.0]","[4, 0.029368044338971784]","[5, 0.6874799150142693]","[4, 0.19833190986352783]","[5, 0.4671250408827283]","[5, 0.2320142396849029]","[1, 0.2723789611615617]","[1, 0.3045950455505366]","[1, 0.526452700826564]","[5, 0.9078786013077519]","[4, 0.04399296538461412]","[5, 0.0020039637203618905]","[4, 0.0008228040252401524]","[1, 0.3151594281824694]","[4, 0.12507973425765273]","[5, 0.5063651807912073]","[5, 0.7882380826215855]","[4, 0.8296107531766818]","[1, 0.3243070520761111]","[2, 0.000186504276478096]","[4, 0.9999999999493335]","[4, 0.2966371604743006]","[3, 0.9647333992670265]","[4, 0.26177953177737795]","[3, 0.6369075490688145]","[1, 0.17808381169346824]","[1, 0.4813993747325439]","[5, 0.00545936902838999]"
Parent gaze:props,"[5, 0.127792832417103]","[1, 1.0]","[2, 0.07198590693052284]","[5, 0.695700424398323]","[1, 0.018511767919725117]","[3, 0.05343665203245195]","[1, 1.0]","[3, 0.3779093588155542]","[1, 0.021352955344339352]","[1, 1.0]","[1, 1.0]","[3, 0.11085733714641213]","[1, 1.0]","[4, 2.6902979854495016e-07]","[3, 0.26261892894312266]","[1, 1.0]","[2, 0.0004868617459661182]","[1, 2.3567953262085814e-05]","[1, 0.12184828166735007]","[1, 1.0]","[5, 0.6866862689918689]","[1, 8.93714411172069e-05]","[1, 1.0]","[4, 0.0667026943089198]","[2, 0.30349047182516165]","[1, 0.28559612280399804]","[1, 1.0]","[1, 0.052117280949538713]","[1, 0.006408481636513973]","[4, 0.000566011129614386]","[1, 0.052587726323288085]","[5, 0.14081936776910117]","[1, 1.0]","[1, 1.0]","[3, 0.39722523134964227]","[3, 0.0001860573481518954]","[2, 0.012254413037836897]","[4, 0.39793861533459646]","[5, 0.11658991754009017]","[3, 0.40518466582031754]","[1, 1.0]","[1, 1.0]","[4, 0.12702256218767036]","[5, 0.061513871494422376]","[2, 0.016167672304498178]","[1, 1.0]","[1, 0.05924158631154006]","[1, 0.18224202864755895]","[1, 1.0]"
Parent gaze:robot or prop,"[1, 0.1279704555051378]","[1, 1.0]","[1, 1.0]","[1, 0.07868444258705243]","[2, 0.013153652493309097]","[4, 4.416788491400113e-07]","[1, 1.0]","[3, 0.2005204902233015]","[1, 6.391212167646955e-05]","[1, 1.0]","[1, 1.0]","[2, 0.10132405244238242]","[2, 3.505338011818624e-21]","[1, 1.0]","[2, 0.025180179137396324]","[1, 1.0]","[3, 0.00898428949619505]","[1, 1.0]","[3, 0.06582722341561113]","[1, 1.0]","[4, 2.558461642144025e-07]","[2, 0.24501889137890182]","[3, 0.03215321691626527]","[1, 1.0]","[4, 0.005672330636127682]","[4, 0.4761107189264602]","[5, 0.006615012718594312]","[1, 1.0]","[4, 0.1125387707655225]","[1, 0.05258772632329372]","[1, 1.0]","[5, 0.28765860607165294]","[1, 1.0]","[1, 1.0]","[5, 0.10658070482407009]","[1, 1.0]","[5, 0.020956793598682015]","[4, 0.06321591445334762]","[2, 0.0013151522811496415]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.11107921716300764]","[3, 0.026922155836082557]","[3, 0.011505224647235022]","[1, 1.0]","[5, 0.08244314443887123]","[4, 0.03809594932189604]","[1, 1.0]"
Parent affect:positive 2,"[1, 0.4270732953563722]","[1, 1.0]","[1, 1.0]","[5, 0.6028960619245711]","[1, 0.2879158806816403]","[5, 0.08305447991373821]","[5, 0.34464247838137235]","[1, 1.0]","[2, 0.01315117268438261]","[1, 1.0]","[4, 0.5235826542649273]","[4, 0.159155563126165]","[4, 0.00013088855507106028]","[1, 1.0]","[1, 0.4799654559030675]","[1, 1.0]","[5, 0.20739452436122066]","[1, 1.0]","[1, 0.16189547405457838]","[1, 0.0072965629400311245]","[1, 0.0926546758200365]","[1, 0.07917775877515937]","[1, 0.12232146952192849]","[2, 0.027449156301485235]","[1, 1.0]","[2, 0.6183866480646532]","[1, 1.0]","[1, 1.0]","[4, 0.950676314662445]","[1, 0.312123569501912]","[1, 0.0796680216772696]","[5, 0.21423999741394673]","[2, 0.0019653913016753344]","[1, 1.0]","[1, 0.12232146952192849]","[3, 0.9999999980645279]","[1, 0.18100247606420466]","[5, 0.1985150497579609]","[3, 0.28815304726140706]","[1, 0.0019221325078125418]","[1, 2.0164523036087746e-11]","[3, 0.9999999040987044]","[2, 0.5502983839815001]","[2, 0.6620366740289161]","[3, 0.2664946309438001]","[5, 0.48081360347724156]","[3, 0.07522648215837435]","[3, 0.2542079996593091]","[1, 1.0]"
Parent affect:positive 1,"[5, 0.14996304571607516]","[3, 0.9959802014052269]","[4, 0.03302888860464173]","[3, 0.0734827191903269]","[2, 0.2627725665514128]","[5, 0.46120985009027904]","[2, 0.2769271672054073]","[5, 0.1711515579922266]","[2, 0.3582082188115319]","[1, 1.0]","[1, 0.22552764366251382]","[3, 0.3318997017092579]","[1, 1.0]","[5, 0.9999840618776796]","[2, 0.2910873520129866]","[2, 0.00038600072809347224]","[1, 0.2258887609722705]","[1, 0.008700907747044812]","[2, 0.14657391399246328]","[5, 0.5666091118513712]","[1, 0.5614073058154094]","[1, 0.22552764366251382]","[1, 0.03239123233823673]","[3, 0.32882681871507347]","[1, 0.05199978239221581]","[1, 1.0]","[3, 0.6216127656166359]","[1, 0.22552764366251382]","[2, 0.5093741647051695]","[3, 0.524424312094069]","[1, 0.22552764366251382]","[5, 0.5701629119590982]","[5, 0.7137938292546918]","[1, 1.0]","[1, 0.03228626153779643]","[1, 0.08653415301671975]","[4, 0.9325144520811236]","[3, 0.41487811095532534]","[1, 0.19079945351481248]","[1, 0.28559612280397745]","[2, 0.9999999885731421]","[3, 0.9999999054563119]","[5, 0.17493169865856087]","[2, 0.8210417060412973]","[3, 0.8489628972652528]","[2, 0.3582082188115583]","[1, 0.2419584940300828]","[3, 0.18201341376513752]","[2, 0.07588405466615396]"
Parent affect:positive 3,"[1, 0.018082403250964378]","[1, 1.0]","[1, 1.0]","[5, 0.3764204329039541]","[3, 0.1819488550885975]","[4, 0.9994297654979052]","[4, 0.9982646203153522]","[1, 0.09534626384605356]","[3, 0.023277692192353174]","[1, 1.0]","[2, 0.03375964216687143]","[4, 0.36664084190064844]","[5, 1.4209666418383777e-09]","[1, 1.0]","[4, 0.1734230111256233]","[1, 1.0]","[4, 0.9994044511511829]","[3, 7.079689150512431e-05]","[1, 1.0]","[1, 1.0]","[1, 0.01259922506015347]","[4, 0.00570730505982392]","[2, 0.07198590693052014]","[3, 0.0011615309534193207]","[1, 2.92959769414344e-05]","[1, 4.745935209101857e-09]","[1, 1.0]","[3, 0.00755861435064435]","[1, 0.2240788601822753]","[5, 0.40197016522852375]","[2, 0.03317390402314924]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.04699390537012056]","[5, 0.14713284317517025]","[4, 0.0028059599972176125]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.09685043541708802]","[1, 0.17767607774547384]","[1, 1.0]","[1, 1.0]","[4, 0.25831706545421096]","[5, 0.0029700294243745905]","[1, 0.0005503862092511874]"
Parent gesture:point at prop,"[1, 0.3143600952386706]","[1, 1.0]","[5, 0.08678974777719595]","[1, 0.019860591372684585]","[1, 0.12338479737666744]","[2, 0.07911883558928726]","[1, 1.0]","[4, 0.06647363687348973]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.08465546430195636]","[1, 1.0]","[1, 1.0]","[4, 0.02519252143877655]","[1, 1.0]","[3, 0.0374002088694936]","[2, 0.0006365962078591361]","[3, 0.3393091118973982]","[1, 1.0]","[1, 0.28807658708461525]","[2, 0.5243064868645673]","[2, 0.003838595302652271]","[1, 1.0]","[1, 1.0]","[1, 0.294001437609352]","[3, 0.8978751777742737]","[1, 1.0]","[2, 0.14724957761207935]","[2, 0.04813159652487821]","[2, 0.25761574374726687]","[3, 0.05375596226851217]","[1, 1.0]","[1, 1.0]","[4, 0.11980603427409574]","[3, 0.5164686996521077]","[4, 0.5156558510835241]","[1, 0.12338479737665686]","[3, 0.0015079350219439694]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.00038225312418307337]","[1, 0.24984458494479145]","[3, 0.3412917956079706]","[5, 1.2361820006516668e-06]","[1, 1.0]","[3, 0.299189766081755]","[1, 1.0]"
Parent affective touch:affective touch,"[2, 0.36854321365536563]","[5, 0.0011956568331492673]","[3, 0.21664597610225847]","[3, 0.2422786580528257]","[3, 0.04733138825766679]","[2, 0.12060177124579927]","[1, 0.0059699869769192235]","[4, 0.11655962740819317]","[3, 0.07709666943213005]","[1, 1.0]","[2, 0.05870842465997648]","[4, 0.11476564067544825]","[1, 1.0]","[1, 0.0064251501044783835]","[4, 0.005916930820912933]","[5, 0.9999987459963512]","[5, 0.8404487409334574]","[1, 0.023630171151683955]","[4, 0.21411440262921735]","[1, 0.09636493581529453]","[4, 0.003309015316125759]","[2, 0.17552302691834265]","[4, 0.18176375259346736]","[1, 0.0016271564433490073]","[2, 0.18205588958228422]","[1, 0.0042080476414877695]","[1, 0.23135545647802985]","[1, 0.2968405208274415]","[1, 1.0]","[3, 0.004077245371561324]","[1, 0.0014343290064349307]","[4, 0.019431876082299397]","[3, 0.5465168531774296]","[1, 1.0]","[2, 0.00840691467362936]","[4, 0.33026197303830035]","[2, 0.7209480777554981]","[1, 0.5396867766989015]","[5, 0.13874794961938414]","[5, 0.19172514693714215]","[2, 0.0005565900267825966]","[4, 0.9999999999633989]","[3, 0.3268818506999155]","[1, 0.11329875845665585]","[2, 0.004783742230282025]","[1, 0.23135545647802985]","[2, 0.025045776403606466]","[2, 0.002760319131267833]","[3, 0.008367499244216446]"
Child prop manipulation:child,"[3, 0.03424874576298259]","[5, 0.0028048094056244135]","[1, 0.1335628951015318]","[4, 0.2843207162584504]","[4, 6.357729310370525e-05]","[5, 0.15770165247306628]","[1, 1.0]","[3, 0.5229426124045613]","[5, 0.06687620663439703]","[1, 1.0]","[1, 0.20498821530125907]","[4, 0.0008903872517980557]","[3, 0.9069501855946873]","[4, 0.0029107119689865506]","[5, 2.698553758267874e-07]","[1, 1.0]","[5, 0.005314090085761499]","[3, 0.005928177566153296]","[2, 0.5993712285487118]","[1, 1.0]","[1, 0.5439750593887026]","[1, 0.057010721942703874]","[3, 0.04442094700410821]","[4, 0.002621721905766064]","[1, 0.3121235695019223]","[1, 0.48421217272306816]","[2, 0.10460367627319885]","[2, 0.027032115091044782]","[1, 0.5532809157783809]","[1, 1.0]","[1, 0.20498821530125907]","[4, 0.9216131665403008]","[1, 1.0]","[1, 1.0]","[4, 0.5386016291195395]","[1, 0.07269127930472045]","[3, 0.35846722332635395]","[5, 0.60962771025804]","[4, 0.14723356521676165]","[2, 0.5355022586308021]","[1, 1.0]","[1, 1.0]","[3, 0.004618674925310983]","[1, 0.1883757520406974]","[4, 0.05761035179300589]","[3, 0.9908243264969288]","[1, 0.5403182191510965]","[5, 1.496871007428849e-07]","[1, 1.0]"
Parent prop manipulation:parent,"[2, 0.11378582982140974]","[1, 1.0]","[5, 0.02263888028318448]","[1, 0.2840404832004506]","[2, 0.027034225522024086]","[2, 0.08695527368337995]","[1, 1.0]","[1, 0.004593633297346675]","[1, 1.0]","[1, 1.0]","[5, 0.0645111405660297]","[1, 0.4835467538836896]","[1, 1.0]","[1, 1.0]","[1, 0.40963943517816637]","[1, 1.0]","[1, 1.0]","[5, 0.0032261814626466756]","[5, 0.2507544529249843]","[4, 0.0008754016386948073]","[5, 0.9396823127775561]","[5, 0.7155007580972588]","[3, 0.23624981647675466]","[1, 1.0]","[2, 0.21002164678550891]","[5, 0.014713854557288235]","[3, 0.05495655408391457]","[2, 0.16780021398313216]","[4, 0.13180571436743482]","[5, 0.9881057975522809]","[1, 1.0]","[5, 0.9997777746172947]","[4, 0.03955177128010822]","[1, 1.0]","[5, 0.9989738360976753]","[1, 1.0]","[5, 0.9997436563084217]","[5, 0.03422145865923253]","[3, 0.011569607600805361]","[5, 0.8849506121971333]","[1, 1.0]","[1, 1.0]","[5, 0.10800916842423862]","[3, 0.028469875729154753]","[3, 0.8994142996445706]","[5, 0.003311962074130072]","[4, 0.49998647121284956]","[5, 0.2924639197037753]","[1, 1.0]"
