,Child utterance,Child gaze,Child affect,Child gesture,Child affective touch,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,start-end,Conversational turns,Joint attention,Mutual gaze,time
65,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,35.86
66,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,36.36
67,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,36.86
68,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,37.36
69,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,37.86
70,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,38.36
71,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,38.86
72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,39.36
73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,39.86
74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,40.36
75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,40.86
76,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,41.36
77,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,41.86
78,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,42.36
79,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,42.86
80,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,43.36
81,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,43.86
82,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,44.36
83,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,44.86
84,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,45.36
85,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,45.86
86,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,46.36
87,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,46.86
88,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,47.36
89,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,47.86
90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,48.36
91,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,48.86
92,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,49.36
93,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,49.86
94,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,50.36
95,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,50.86
96,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,51.36
97,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,51.86
98,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,52.36
99,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,52.86
100,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,53.36
101,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,53.86
102,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,54.36
103,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,54.86
104,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,55.36
105,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,55.86
106,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,56.36
107,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,56.86
108,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,57.36
109,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,57.86
110,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,58.36
111,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,58.86
112,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,59.36
113,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,59.86
114,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,60.36
115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60.86
116,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61.36
117,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61.86
118,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62.36
119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62.86
120,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63.36
121,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,63.86
