,action,who,s_time,e_time,t_time,sub_action,action:sub_action
0,Child utterance,Child,7.662,8.529,0.867,utterance,Child utterance:utterance
1,Child utterance,Child,12.015,13.115,1.1,utterance,Child utterance:utterance
2,Child utterance,Child,66.424,68.211,1.787,utterance,Child utterance:utterance
3,Child utterance,Child,102.203,102.82300000000001,0.62,not sure,Child utterance:not sure
4,Child utterance,Child,107.953,108.733,0.78,utterance,Child utterance:utterance
5,Child utterance,Child,109.10300000000001,109.663,0.56,utterance,Child utterance:utterance
6,Child utterance,Child,115.363,116.203,0.84,utterance,Child utterance:utterance
7,Child utterance,Child,122.953,124.633,1.68,utterance,Child utterance:utterance
8,Child utterance,Child,130.893,132.953,2.06,utterance,Child utterance:utterance
9,Child utterance,Child,151.57,152.77,1.2,utterance,Child utterance:utterance
10,Child utterance,Child,161.29,162.71,1.42,utterance,Child utterance:utterance
11,Child utterance,Child,166.7,167.52,0.82,other vocalization,Child utterance:other vocalization
12,Child utterance,Child,177.86,178.4,0.54,utterance,Child utterance:utterance
13,Child utterance,Child,198.23,199.03,0.8,utterance,Child utterance:utterance
14,Child utterance,Child,222.68,223.84,1.16,utterance,Child utterance:utterance
15,Child utterance,Child,230.39,231.23,0.84,other vocalization,Child utterance:other vocalization
16,Child utterance,Child,232.29,233.15,0.86,utterance,Child utterance:utterance
17,Child utterance,Child,242.24,243.32,1.08,utterance,Child utterance:utterance
18,Child utterance,Child,261.449,262.169,0.72,other vocalization,Child utterance:other vocalization
19,Child utterance,Child,266.594,267.594,1.0,utterance,Child utterance:utterance
20,Child utterance,Child,268.133,268.853,0.72,utterance,Child utterance:utterance
21,Child utterance,Child,282.634,284.054,1.42,utterance,Child utterance:utterance
22,Child utterance,Child,287.436,288.756,1.32,utterance,Child utterance:utterance
23,Child utterance,Child,292.484,293.404,0.92,utterance,Child utterance:utterance
24,Child utterance,Child,296.604,298.504,1.9,utterance,Child utterance:utterance
25,Child utterance,Child,303.205,304.425,1.22,utterance,Child utterance:utterance
26,Child utterance,Child,307.394,308.094,0.7,utterance,Child utterance:utterance
27,Child utterance,Child,309.624,311.004,1.38,utterance,Child utterance:utterance
28,Child utterance,Child,321.832,322.672,0.84,utterance,Child utterance:utterance
29,Child utterance,Child,328.443,329.843,1.4,utterance,Child utterance:utterance
30,Child utterance,Child,335.451,335.931,0.48,other vocalization,Child utterance:other vocalization
31,Child utterance,Child,353.952,354.992,1.04,utterance,Child utterance:utterance
32,Child utterance,Child,385.781,387.141,1.36,utterance,Child utterance:utterance
33,Child utterance,Child,400.567,401.387,0.82,utterance,Child utterance:utterance
34,Child utterance,Child,402.127,402.867,0.74,utterance,Child utterance:utterance
35,Child utterance,Child,410.628,411.068,0.44,utterance,Child utterance:utterance
36,Child utterance,Child,414.613,415.193,0.58,utterance,Child utterance:utterance
37,Child utterance,Child,426.958,427.718,0.76,utterance,Child utterance:utterance
38,Child utterance,Child,432.226,432.746,0.52,other vocalization,Child utterance:other vocalization
39,Child utterance,Child,435.376,436.836,1.46,utterance,Child utterance:utterance
40,Child utterance,Child,446.891,448.071,1.18,utterance,Child utterance:utterance
41,Child utterance,Child,450.69,451.71,1.02,utterance,Child utterance:utterance
42,Child utterance,Child,454.772,455.992,1.22,utterance,Child utterance:utterance
43,Child utterance,Child,456.168,456.788,0.62,utterance,Child utterance:utterance
44,Child gaze,Child,3.404,27.72,24.316,robot,Child gaze:robot
45,Child gaze,Child,31.92,39.16,7.24,robot,Child gaze:robot
46,Child gaze,Child,41.86,46.74,4.88,robot,Child gaze:robot
47,Child gaze,Child,52.82,60.38,7.56,robot,Child gaze:robot
48,Child gaze,Child,63.959,89.879,25.92,robot,Child gaze:robot
49,Child gaze,Child,89.96000000000001,98.2,8.24,props,Child gaze:props
50,Child gaze,Child,98.28,105.03999999999999,6.76,robot,Child gaze:robot
51,Child gaze,Child,105.289,110.049,4.76,props,Child gaze:props
52,Child gaze,Child,110.149,110.789,0.64,robot,Child gaze:robot
53,Child gaze,Child,111.029,122.309,11.28,props,Child gaze:props
54,Child gaze,Child,122.509,125.789,3.28,robot or prop,Child gaze:robot or prop
55,Child gaze,Child,126.949,131.149,4.2,props,Child gaze:props
56,Child gaze,Child,131.329,136.889,5.56,robot,Child gaze:robot
57,Child gaze,Child,136.989,143.629,6.64,props,Child gaze:props
58,Child gaze,Child,143.709,150.829,7.12,robot or prop,Child gaze:robot or prop
59,Child gaze,Child,151.109,154.389,3.28,props,Child gaze:props
60,Child gaze,Child,154.549,160.349,5.8,robot or prop,Child gaze:robot or prop
61,Child gaze,Child,160.489,164.649,4.16,robot,Child gaze:robot
62,Child gaze,Child,164.769,167.209,2.44,props,Child gaze:props
63,Child gaze,Child,167.389,173.50900000000001,6.12,robot or prop,Child gaze:robot or prop
64,Child gaze,Child,173.649,193.249,19.6,props,Child gaze:props
65,Child gaze,Child,193.32,201.07999999999998,7.76,robot,Child gaze:robot
66,Child gaze,Child,201.2,207.12,5.92,props,Child gaze:props
67,Child gaze,Child,207.28,213.6,6.32,robot,Child gaze:robot
68,Child gaze,Child,213.68,225.36,11.68,props,Child gaze:props
69,Child gaze,Child,225.56,242.8,17.24,robot,Child gaze:robot
70,Child gaze,Child,245.9,268.82,22.92,robot,Child gaze:robot
71,Child gaze,Child,268.96,275.76,6.8,parent,Child gaze:parent
72,Child gaze,Child,275.92,293.48,17.56,robot,Child gaze:robot
73,Child gaze,Child,293.65999999999997,300.22,6.56,props,Child gaze:props
74,Child gaze,Child,300.34,303.58,3.24,parent,Child gaze:parent
75,Child gaze,Child,303.72,307.92,4.2,robot,Child gaze:robot
76,Child gaze,Child,308.14,314.14,6.0,props,Child gaze:props
77,Child gaze,Child,314.3,319.14,4.84,robot,Child gaze:robot
78,Child gaze,Child,319.28,320.44,1.16,props,Child gaze:props
79,Child gaze,Child,320.58,330.34,9.76,robot,Child gaze:robot
80,Child gaze,Child,330.42,347.86,17.44,props,Child gaze:props
81,Child gaze,Child,347.94,349.9,1.96,robot,Child gaze:robot
82,Child gaze,Child,350.48,354.8,4.32,props,Child gaze:props
83,Child gaze,Child,357.84000000000003,361.84,4.0,props,Child gaze:props
84,Child gaze,Child,362.0,365.36,3.36,robot,Child gaze:robot
85,Child gaze,Child,365.6,383.76,18.16,props,Child gaze:props
86,Child gaze,Child,383.84,388.92,5.08,robot,Child gaze:robot
87,Child gaze,Child,389.06,394.86,5.8,props,Child gaze:props
88,Child gaze,Child,394.92,397.4,2.48,robot or prop,Child gaze:robot or prop
89,Child gaze,Child,402.28,404.64,2.36,props,Child gaze:props
90,Child gaze,Child,404.74,407.58,2.84,robot,Child gaze:robot
91,Child gaze,Child,410.15999999999997,414.96,4.8,robot or prop,Child gaze:robot or prop
92,Child gaze,Child,416.12,426.52,10.4,robot,Child gaze:robot
93,Child gaze,Child,426.68,431.8,5.12,parent,Child gaze:parent
94,Child gaze,Child,433.76,437.24,3.48,robot,Child gaze:robot
95,Child gaze,Child,439.079,440.279,1.2,robot,Child gaze:robot
96,Child gaze,Child,442.119,454.319,12.2,robot or prop,Child gaze:robot or prop
97,Child gaze,Child,454.379,456.819,2.44,parent,Child gaze:parent
98,Child gaze,Child,457.239,460.119,2.88,robot,Child gaze:robot
99,Child gaze,Child,467.879,472.879,5.0,robot,Child gaze:robot
100,Child affect,Child,8.32,9.88,1.56,positive 1,Child affect:positive 1
101,Child affect,Child,22.24,24.32,2.08,positive 1,Child affect:positive 1
102,Child affect,Child,36.16,39.24,3.08,positive 1,Child affect:positive 1
103,Child affect,Child,63.76,68.24,4.48,positive 2,Child affect:positive 2
104,Child affect,Child,109.72,111.16,1.44,positive 1,Child affect:positive 1
105,Child affect,Child,131.489,132.72899999999998,1.24,positive 1,Child affect:positive 1
106,Child affect,Child,166.988,173.788,6.8,positive 2,Child affect:positive 2
107,Child affect,Child,194.747,196.667,1.92,positive 1,Child affect:positive 1
108,Child affect,Child,230.4,232.0,1.6,positive 1,Child affect:positive 1
109,Child affect,Child,254.064,258.824,4.76,positive 1,Child affect:positive 1
110,Child affect,Child,267.724,268.924,1.2,positive 2,Child affect:positive 2
111,Child affect,Child,275.564,284.884,9.32,positive 1,Child affect:positive 1
112,Child affect,Child,286.704,293.744,7.04,positive 2,Child affect:positive 2
113,Child affect,Child,303.704,308.704,5.0,positive 1,Child affect:positive 1
114,Child affect,Child,335.28,336.8,1.52,positive 1,Child affect:positive 1
115,Child affect,Child,362.72,364.88,2.16,positive 1,Child affect:positive 1
116,Child affect,Child,384.84,387.6,2.76,positive 2,Child affect:positive 2
117,Child affect,Child,403.259,404.219,0.96,positive 1,Child affect:positive 1
118,Child affect,Child,404.859,407.739,2.88,positive 1,Child affect:positive 1
119,Child affect,Child,416.188,417.028,0.84,positive 1,Child affect:positive 1
120,Child affect,Child,434.608,437.488,2.88,positive 1,Child affect:positive 1
121,Child affect,Child,445.42,452.02,6.6,positive 1,Child affect:positive 1
122,Child affect,Child,454.4,456.12,1.72,positive 1,Child affect:positive 1
123,Child gesture,Child,297.28,299.68,2.4,point at prop,Child gesture:point at prop
124,Child affective touch,Child,250.96,259.64,8.68,affective touch,Child affective touch:affective touch
125,Child affective touch,Child,267.948,276.028,8.08,affective touch,Child affective touch:affective touch
126,Child affective touch,Child,300.128,304.368,4.24,affective touch,Child affective touch:affective touch
127,Child affective touch,Child,322.668,324.26800000000003,1.6,affective touch,Child affective touch:affective touch
128,Child affective touch,Child,353.84000000000003,359.28,5.44,affective touch,Child affective touch:affective touch
129,Child affective touch,Child,418.12,431.48,13.36,affective touch,Child affective touch:affective touch
130,Child affective touch,Child,440.819,453.739,12.92,affective touch,Child affective touch:affective touch
131,Parent utterance,Parent,12.615,15.055,2.44,utterance,Parent utterance:utterance
132,Parent utterance,Parent,21.453,22.493,1.04,utterance,Parent utterance:utterance
133,Parent utterance,Parent,68.01,68.70400000000001,0.694,utterance,Parent utterance:utterance
134,Parent utterance,Parent,70.70400000000001,71.197,0.493,utterance,Parent utterance:utterance
135,Parent utterance,Parent,72.39,72.78999999999999,0.4,utterance,Parent utterance:utterance
136,Parent utterance,Parent,74.81700000000001,75.51,0.693,utterance,Parent utterance:utterance
137,Parent utterance,Parent,76.883,77.68299999999999,0.8,utterance,Parent utterance:utterance
138,Parent utterance,Parent,78.803,79.68299999999999,0.88,utterance,Parent utterance:utterance
139,Parent utterance,Parent,81.483,83.083,1.6,utterance,Parent utterance:utterance
140,Parent utterance,Parent,86.123,86.663,0.54,utterance,Parent utterance:utterance
141,Parent utterance,Parent,89.493,91.873,2.38,utterance,Parent utterance:utterance
142,Parent utterance,Parent,93.963,95.12299999999999,1.16,utterance,Parent utterance:utterance
143,Parent utterance,Parent,103.863,105.483,1.62,utterance,Parent utterance:utterance
144,Parent utterance,Parent,106.033,107.193,1.16,utterance,Parent utterance:utterance
145,Parent utterance,Parent,110.333,112.15299999999999,1.82,utterance,Parent utterance:utterance
146,Parent utterance,Parent,116.443,118.023,1.58,utterance,Parent utterance:utterance
147,Parent utterance,Parent,118.40299999999999,119.82300000000001,1.42,utterance,Parent utterance:utterance
148,Parent utterance,Parent,121.033,122.953,1.92,utterance,Parent utterance:utterance
149,Parent utterance,Parent,124.713,125.593,0.88,utterance,Parent utterance:utterance
150,Parent utterance,Parent,126.663,131.183,4.52,missing data,Parent utterance:missing data
151,Parent utterance,Parent,133.123,134.243,1.12,utterance,Parent utterance:utterance
152,Parent utterance,Parent,136.92000000000002,140.78,3.86,utterance,Parent utterance:utterance
153,Parent utterance,Parent,141.91,142.99,1.08,utterance,Parent utterance:utterance
154,Parent utterance,Parent,146.49,147.93,1.44,utterance,Parent utterance:utterance
155,Parent utterance,Parent,149.73,151.25,1.52,utterance,Parent utterance:utterance
156,Parent utterance,Parent,152.59,153.32999999999998,0.74,utterance,Parent utterance:utterance
157,Parent utterance,Parent,159.46,161.24,1.78,utterance,Parent utterance:utterance
158,Parent utterance,Parent,162.92000000000002,166.07999999999998,3.16,utterance,Parent utterance:utterance
159,Parent utterance,Parent,175.71,177.01,1.3,utterance,Parent utterance:utterance
160,Parent utterance,Parent,178.97,179.61,0.64,utterance,Parent utterance:utterance
161,Parent utterance,Parent,183.18,185.2,2.02,utterance,Parent utterance:utterance
162,Parent utterance,Parent,187.15,188.51,1.36,utterance,Parent utterance:utterance
163,Parent utterance,Parent,190.07,192.03,1.96,utterance,Parent utterance:utterance
164,Parent utterance,Parent,192.71,193.39,0.68,utterance,Parent utterance:utterance
165,Parent utterance,Parent,202.77,206.25,3.48,utterance,Parent utterance:utterance
166,Parent utterance,Parent,214.06,215.48,1.42,utterance,Parent utterance:utterance
167,Parent utterance,Parent,223.98,225.68,1.7,utterance,Parent utterance:utterance
168,Parent utterance,Parent,245.9,247.8,1.9,utterance,Parent utterance:utterance
169,Parent utterance,Parent,265.078,266.438,1.36,utterance,Parent utterance:utterance
170,Parent utterance,Parent,269.532,274.932,5.4,utterance,Parent utterance:utterance
171,Parent utterance,Parent,275.341,276.281,0.94,utterance,Parent utterance:utterance
172,Parent utterance,Parent,277.59000000000003,278.45,0.86,utterance,Parent utterance:utterance
173,Parent utterance,Parent,278.939,282.579,3.64,utterance,Parent utterance:utterance
174,Parent utterance,Parent,283.978,287.258,3.28,utterance,Parent utterance:utterance
175,Parent utterance,Parent,288.744,289.564,0.82,utterance,Parent utterance:utterance
176,Parent utterance,Parent,289.927,291.787,1.86,utterance,Parent utterance:utterance
177,Parent utterance,Parent,293.795,296.515,2.72,utterance,Parent utterance:utterance
178,Parent utterance,Parent,298.513,299.873,1.36,utterance,Parent utterance:utterance
179,Parent utterance,Parent,300.212,302.692,2.48,utterance,Parent utterance:utterance
180,Parent utterance,Parent,304.515,305.575,1.06,utterance,Parent utterance:utterance
181,Parent utterance,Parent,306.904,307.444,0.54,utterance,Parent utterance:utterance
182,Parent utterance,Parent,308.515,309.555,1.04,utterance,Parent utterance:utterance
