,col base,action base,col count,action count,hist,bins
0,action,Child affect,action,Child affective touch,[0 0 1 0 1 0 1],[-3 -2 -1  0  1  2  3  4]
1,action,Child affect,action,Child gaze,[2 4 5 3 3 3 0],[-3 -2 -1  0  1  2  3  4]
2,action,Child affect,action,Child gesture,[0 0 0 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
3,action,Child affect,action,Child prop manipulation,[0 1 0 0 1 0 3],[-3 -2 -1  0  1  2  3  4]
4,action,Child affect,action,Child utterance,[7 9 1 3 1 6 0],[-3 -2 -1  0  1  2  3  4]
5,action,Child affect,action,Conversational turns,[ 9 13  8  7  3  8  2],[-3 -2 -1  0  1  2  3  4]
6,action,Child affect,action,Joint attention,[2 3 4 3 1 4 3],[-3 -2 -1  0  1  2  3  4]
7,action,Child affect,action,Mutual gaze,[0 1 0 0 0 1 1],[-3 -2 -1  0  1  2  3  4]
8,action,Child affect,action,Non-verbal scaffolding,[2 3 1 0 4 1 2],[-3 -2 -1  0  1  2  3  4]
9,action,Child affect,action,Parent affect,[3 3 0 2 0 3 3],[-3 -2 -1  0  1  2  3  4]
10,action,Child affect,action,Parent affective touch,[3 4 1 3 1 1 1],[-3 -2 -1  0  1  2  3  4]
11,action,Child affect,action,Parent gaze,[2 5 3 5 3 1 4],[-3 -2 -1  0  1  2  3  4]
12,action,Child affect,action,Parent gesture,[0 0 1 0 0 1 0],[-3 -2 -1  0  1  2  3  4]
13,action,Child affect,action,Parent prop manipulation,[0 1 0 0 2 1 1],[-3 -2 -1  0  1  2  3  4]
14,action,Child affect,action,Parent utterance,[1 2 7 6 3 2 1],[-3 -2 -1  0  1  2  3  4]
15,action,Child affect,action,Verbal scaffolding,[0 1 5 1 3 2 0],[-3 -2 -1  0  1  2  3  4]
16,action,Child affect,action,robot pointing,[0 0 1 0 0 2 0],[-3 -2 -1  0  1  2  3  4]
17,action,Child affect,action,robot text,[4 2 8 4 3 5 6],[-3 -2 -1  0  1  2  3  4]
18,action,Child affect,action,start-end,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
19,action,Child affect,sub_action,CP,[5 8 1 2 1 5 0],[-3 -2 -1  0  1  2  3  4]
20,action,Child affect,sub_action,CPC,[4 3 1 1 0 3 0],[-3 -2 -1  0  1  2  3  4]
21,action,Child affect,sub_action,MG,[0 1 0 0 0 1 1],[-3 -2 -1  0  1  2  3  4]
22,action,Child affect,sub_action,PC,[0 1 3 2 1 0 1],[-3 -2 -1  0  1  2  3  4]
23,action,Child affect,sub_action,PCP,[0 1 3 2 1 0 1],[-3 -2 -1  0  1  2  3  4]
24,action,Child affect,sub_action,affective,[2 2 1 1 2 0 1],[-3 -2 -1  0  1  2  3  4]
25,action,Child affect,sub_action,affective touch,[3 4 2 3 2 1 2],[-3 -2 -1  0  1  2  3  4]
26,action,Child affect,sub_action,child,[1 4 1 3 2 0 4],[-3 -2 -1  0  1  2  3  4]
27,action,Child affect,sub_action,cognitive,[0 2 5 0 4 2 0],[-3 -2 -1  0  1  2  3  4]
28,action,Child affect,sub_action,correction,[0 0 1 0 1 0 0],[-3 -2 -1  0  1  2  3  4]
29,action,Child affect,sub_action,end,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
30,action,Child affect,sub_action,instruction translation,[0 0 0 0 0 1 0],[-3 -2 -1  0  1  2  3  4]
31,action,Child affect,sub_action,missing data,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
32,action,Child affect,sub_action,not sure,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
33,action,Child affect,sub_action,other,[0 1 0 1 0 1 0],[-3 -2 -1  0  1  2  3  4]
34,action,Child affect,sub_action,other vocalization,[0 2 0 0 0 1 0],[-3 -2 -1  0  1  2  3  4]
35,action,Child affect,sub_action,parent,[0 2 0 1 2 2 1],[-3 -2 -1  0  1  2  3  4]
36,action,Child affect,sub_action,pick up,[0 1 0 1 0 2 2],[-3 -2 -1  0  1  2  3  4]
37,action,Child affect,sub_action,point at prop,[0 0 2 0 0 3 1],[-3 -2 -1  0  1  2  3  4]
38,action,Child affect,sub_action,positive 1,[ 6 10  2  1  0  4  3],[-3 -2 -1  0  1  2  3  4]
39,action,Child affect,sub_action,positive 2,[2 1 0 0 1 0 0],[-3 -2 -1  0  1  2  3  4]
40,action,Child affect,sub_action,positive 3,[0 0 0 2 0 0 0],[-3 -2 -1  0  1  2  3  4]
41,action,Child affect,sub_action,positive feedback,[1 0 1 0 1 0 0],[-3 -2 -1  0  1  2  3  4]
42,action,Child affect,sub_action,props,[0 2 5 4 2 1 0],[-3 -2 -1  0  1  2  3  4]
43,action,Child affect,sub_action,put down,[2 0 3 2 1 0 3],[-3 -2 -1  0  1  2  3  4]
44,action,Child affect,sub_action,robot,[5 6 6 2 4 5 6],[-3 -2 -1  0  1  2  3  4]
45,action,Child affect,sub_action,robot or prop,[0 0 0 1 0 1 0],[-3 -2 -1  0  1  2  3  4]
46,action,Child affect,sub_action,song,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
47,action,Child affect,sub_action,start,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
48,action,Child affect,sub_action,teach,[0 0 1 0 0 1 0],[-3 -2 -1  0  1  2  3  4]
49,action,Child affect,sub_action,technical,[0 0 0 0 1 0 1],[-3 -2 -1  0  1  2  3  4]
50,action,Child affect,sub_action,try again,[1 0 2 0 0 1 1],[-3 -2 -1  0  1  2  3  4]
51,action,Child affect,sub_action,utterance,[8 9 8 9 4 7 1],[-3 -2 -1  0  1  2  3  4]
