,utterance,not sure,other vocalization,robot,props,robot or prop,parent,positive 1,positive 2,point at prop,affective touch,missing data,utterance utterance,cognitive,instruction translation,affective,technical,child,positive 3,other,song,teach,pick up,positive feedback,put down,correction,try again,start,end,PC,CP,PCP,CPC,MG
instruction translation,"[3, 0.8025324509544817]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0004762861380197514]","[4, 0.30589317811888334]","[1, 0.23533823199525278]","[4, 0.7707514750700326]","[1, 1.0]","[1, 1.0]","[5, 0.9051850623386175]","[1, 0.999999697665562]","[1, 1.0]","[1, 1.0]","[4, 0.05298903659296417]","[1, 1.0]","[2, 0.012995892670320445]","[1, 1.0]","[5, 1.425238252401324e-12]","[2, 0.5130563435692093]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.5278759456748028]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
affective,"[4, 0.05811998202580552]","[1, 1.0]","[5, 0.08977601072565124]","[2, 0.10880918597170562]","[2, 0.07139761979616965]","[2, 0.0012732965532044442]","[4, 0.9269952438019736]","[5, 0.03738826779985874]","[4, 0.1538151722041046]","[5, 0.04804933673832017]","[4, 0.09785952829145629]","[3, 0.9655033470983655]","[1, 1.0]","[4, 0.250373457194508]","[1, 1.0]","[1, 1.0]","[1, 0.016330326473043673]","[5, 0.031011501441573823]","[1, 0.09520259351566727]","[1, 0.9669300067102383]","[1, 1.0]","[1, 0.21391809584675953]","[5, 0.012433355575831098]","[3, 0.03525034216017743]","[3, 0.3022401793592335]","[4, 0.7165941283891248]","[3, 0.6596070534974323]","[1, 1.0]","[1, 1.0]","[2, 0.19253590163989892]","[1, 0.1666691793734566]","[1, 0.2288687014158383]","[3, 0.10183841369807997]","[1, 0.9562273400468011]"
technical,"[2, 0.001493245632484235]","[1, 1.0]","[5, 4.5940454243874215e-05]","[2, 0.2736173425768163]","[5, 0.0006527631160077711]","[1, 1.0]","[3, 5.7284087488626955e-05]","[5, 0.30183071902064335]","[2, 0.03711603124370363]","[5, 0.9994267966018098]","[5, 0.050831114693057004]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.00048623863114445067]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.02528193989215683]","[1, 1.0]","[3, 0.7722873614349511]","[1, 1.0]","[1, 1.0]","[2, 0.12380844288414963]","[3, 0.0830560843249672]","[3, 0.019388839217180175]","[1, 1.0]","[1, 1.0]","[3, 0.17573433681528083]","[1, 0.08113912140171492]","[1, 1.0]","[3, 0.00044385904385172185]","[1, 1.0]"
child,"[1, 0.06994654259870632]","[1, 0.022253225028069274]","[1, 0.3076907735289262]","[5, 0.00021929958255835494]","[3, 0.889895534622131]","[2, 0.052437425745723416]","[1, 0.46813475258440607]","[3, 0.1122353152908336]","[5, 0.07033558587114068]","[3, 0.48814319698373676]","[3, 0.19399213898033668]","[1, 0.02225322502806741]","[4, 0.12625594870967338]","[3, 0.13106137926814787]","[1, 0.3257115601795509]","[1, 0.2954079527811585]","[1, 1.0]","[1, 1.0]","[3, 0.10539990711675114]","[1, 0.08434409161931522]","[4, 0.019440254937919385]","[5, 0.4628136968847567]","[1, 0.5872534822129178]","[1, 0.047885923551642284]","[2, 0.8429069473832881]","[4, 0.30414460547258343]","[1, 0.11780104566871193]","[4, 0.0004253524226605477]","[1, 0.9971206977491668]","[2, 0.20466962549485035]","[2, 0.5740901026860727]","[2, 0.28351850857954286]","[3, 0.8325582120356729]","[1, 0.15929681071031349]"
positive 3,"[3, 0.8622898889705541]","[1, 1.0]","[1, 1.0]","[5, 0.09995774713477905]","[4, 0.5236966509924974]","[3, 0.11448201080521604]","[2, 0.11474013206409629]","[1, 5.313141147773155e-07]","[1, 6.391212167646366e-05]","[1, 0.12421052906036423]","[1, 0.22444170426704801]","[5, 1.4209666418383777e-09]","[1, 1.0]","[4, 0.18528857606822205]","[1, 1.0]","[4, 0.9999016819190973]","[1, 1.0]","[1, 0.04130630804717425]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.04699390537012056]","[5, 0.14713284317517025]","[4, 0.0028059599972176125]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.09685043541708802]","[1, 0.17767607774547384]","[1, 1.0]","[1, 1.0]","[1, 0.0005503862092511874]"
other,"[1, 0.13362969733298108]","[1, 1.0]","[5, 0.8774027475404648]","[2, 0.5491123348228517]","[5, 0.9063518699742573]","[1, 1.0]","[2, 0.051967536930948875]","[5, 0.1456159155840814]","[3, 0.12943463057620805]","[5, 0.12332510892800774]","[2, 0.06708924322705317]","[1, 1.0]","[1, 1.0]","[1, 0.36237314001866616]","[5, 1.5519061291400645e-06]","[1, 0.9165864226545419]","[5, 0.17795459447176568]","[4, 0.12415436487989084]","[1, 1.0]","[1, 1.0]","[5, 0.2249535651728564]","[5, 0.001990067733866416]","[5, 0.9925030253908812]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.2547085334204703]","[3, 5.4757437914067826e-17]","[1, 0.9927697848180852]","[1, 1.0]","[1, 0.2037447644692027]","[1, 1.0]","[5, 0.9312965582783754]","[1, 1.0]"
song,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.0012412502793348035]","[4, 0.016146759567196405]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.3427322103276733]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 3.4248993861198877e-09]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
teach,"[2, 0.007395954299667361]","[1, 1.0]","[1, 1.0]","[1, 0.40677472304836415]","[2, 0.4110691839850118]","[1, 0.06815395309727053]","[4, 0.3810315779450019]","[4, 0.16449795194912445]","[2, 0.3289772141155626]","[2, 0.011154269334857664]","[1, 0.3624062478303416]","[1, 1.0]","[1, 1.0]","[3, 0.3119824650050303]","[4, 3.6300746343623685e-08]","[1, 0.2112709634134987]","[2, 0.0113472161747348]","[1, 0.02162763515618888]","[1, 1.0]","[5, 3.9629240511965276e-08]","[1, 1.0]","[1, 1.0]","[1, 1.499930206310292e-05]","[1, 0.0976889434291644]","[1, 0.895480639369508]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.8926292884828355]","[2, 0.059052087698321605]","[1, 0.8737665905258214]","[5, 0.3583382225635296]","[1, 1.0]"
pick up,"[1, 0.1260935710303041]","[1, 1.0]","[1, 0.06551000782540381]","[4, 0.4489029354191877]","[1, 0.2890679825051058]","[1, 0.1459240201313483]","[1, 0.21523947767133617]","[4, 0.5098061554120936]","[5, 0.1947592738992758]","[1, 0.3577602967341198]","[3, 0.19866753470022294]","[1, 1.0]","[1, 1.0]","[1, 0.0629298425179343]","[5, 0.5072546494147855]","[5, 0.5226501735717559]","[1, 1.0]","[1, 0.22298502284067237]","[1, 1.0]","[2, 0.29781686977389943]","[1, 1.0]","[5, 0.9999923600066145]","[1, 1.0]","[1, 0.017488187063857553]","[1, 1.0]","[1, 1.0]","[2, 3.3202600719603057e-06]","[1, 1.0]","[1, 1.0]","[1, 0.003560268053204519]","[2, 0.7232919022446092]","[1, 0.022365166467916107]","[2, 0.03355378731348776]","[1, 0.039302421021495546]"
positive feedback,"[1, 0.2692984399034718]","[1, 1.0]","[1, 0.046993905370117356]","[5, 0.03097284888707847]","[2, 0.001302904365175387]","[2, 0.006800356411845696]","[4, 0.7673520146286243]","[5, 0.5070320221823228]","[4, 0.8025274806639675]","[4, 0.6895205000351523]","[2, 0.2917588740055298]","[1, 1.0]","[1, 1.0]","[5, 0.0034105246229812034]","[1, 1.0]","[3, 0.7572056264474932]","[1, 1.0]","[1, 0.5110192899116155]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.11952456656325036]","[1, 1.0]","[4, 0.9030310052357183]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.03612588506406179]","[4, 0.3390907111891246]","[1, 0.21710194181283785]","[1, 0.046533268346073846]","[1, 1.0]"
