,col base,action base,col count,action count,hist,bins
47,action,Child gaze,action:sub_action,Parent gesture:other,[0 2 1 0 1 2 0],[-3 -2 -1  0  1  2  3  4]
48,action,Child gaze,action:sub_action,Parent gesture:point at prop,[6 5 6 6 4 2 8],[-3 -2 -1  0  1  2  3  4]
49,action,Child gaze,action:sub_action,Parent prop manipulation:parent,[0 0 0 1 2 1 0],[-3 -2 -1  0  1  2  3  4]
50,action,Child gaze,action:sub_action,Parent utterance:missing data,[1 2 1 2 1 1 1],[-3 -2 -1  0  1  2  3  4]
51,action,Child gaze,action:sub_action,Parent utterance:utterance,[ 9 14 11  9 10 16 12],[-3 -2 -1  0  1  2  3  4]
52,action,Child gaze,action:sub_action,Verbal scaffolding:affective,[2 2 4 1 0 3 1],[-3 -2 -1  0  1  2  3  4]
53,action,Child gaze,action:sub_action,Verbal scaffolding:cognitive,[2 7 3 5 7 9 7],[-3 -2 -1  0  1  2  3  4]
54,action,Child gaze,action:sub_action,Verbal scaffolding:instruction translation,[0 1 1 0 0 1 0],[-3 -2 -1  0  1  2  3  4]
55,action,Child gaze,action:sub_action,Verbal scaffolding:technical,[5 2 2 2 2 3 3],[-3 -2 -1  0  1  2  3  4]
56,action,Child gesture,action,Child gaze,[1 1 0 1 1 1 1],[-3 -2 -1  0  1  2  3  4]
57,action,Child gesture,action,Child prop manipulation,[0 0 0 2 0 0 0],[-3 -2 -1  0  1  2  3  4]
58,action,Child gesture,action,Child utterance,[0 2 0 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
59,action,Child gesture,action,Conversational turns,[0 0 1 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
60,action,Child gesture,action,Joint attention,[0 0 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
61,action,Child gesture,action,Mutual gaze,[0 1 0 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
62,action,Child gesture,action,Parent gaze,[1 0 0 1 1 0 2],[-3 -2 -1  0  1  2  3  4]
63,action,Child gesture,action,Parent gesture,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
64,action,Child gesture,action,Parent prop manipulation,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
65,action,Child gesture,action,Parent utterance,[0 0 2 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
66,action,Child gesture,action,Verbal scaffolding,[0 0 2 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
67,action,Child gesture,sub_action,CP,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
68,action,Child gesture,sub_action,CPC,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
69,action,Child gesture,sub_action,MG,[0 1 0 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
70,action,Child gesture,sub_action,PC,[0 0 1 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
71,action,Child gesture,sub_action,PCP,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
